798 3.47882  1082 20
799 -3.62942  1076.34 20
800 2.94037  1070.76 20
801 3.3005  1069.68 20
802 2.36564  1076.78 20
803 -2.89057  1086.7 20
804 3.14343  1085.34 20
805 -3.181  1083.78 20
806 2.61367  1100.9 20
807 3.35697  1098.49 20
808 2.63469  1099.17 20
809 -2.52043  1104.31 20
810 2.74221  1115.38 20
811 -2.5225  1116.35 20
812 2.27695  1118.3 20
813 2.17487  1121.06 20
814 -2.18526  1108.61 20
815 3.28369  1099.14 20
816 -2.97703  1109.78 20
817 -3.27623  1095.08 20
818 -2.79245  1102.33 20
819 3.22775  1109.2 20
820 -2.73049  1104.73 20
821 -3.84972  1110.17 20
822 -3.67717  1107.34 20
823 -3.57531  1112.12 20
824 3.36719  1116.29 20
825 -2.84745  1109.34 20
826 -3.13142  1116.84 20
827 2.69275  1112.92 20
828 3.29576  1117.82 20
829 -2.43735  1130.83 20
830 2.91241  1128.77 20
831 -2.37439  1151.96 20
832 2.8162  1154.14 20
833 3.17888  1158.22 20
834 2.96583  1174.95 20
835 -3.28233  1176.05 20
836 3.77637  1167.88 20
837 -3.06422  1166.89 20
838 4.3309  1159.05 20
839 -4.16803  1165.62 20
840 4.01704  1162.44 20
841 -3.97648  1171.36 20
842 3.74856  1164.53 20
843 3.84069  1169.12 20
844 -2.24571  1172.93 20
845 -2.59746  1168.66 20
846 -2.63888  1171.06 20
847 3.07501  1167.47 20
848 -3.23125  1158.24 20
849 3.71979  1165.43 20
850 -3.32228  1179.18 20
851 -2.48924  1175.48 20
852 2.49202  1150.7 20
853 -3.06428  1146.09 20
854 3.08067  1151.22 20
855 -2.98056  1151.49 20
856 -4.25362  1146.45 20
857 2.72316  1163.29 20
858 -3.03138  1169.42 20
859 2.80421  1162.76 20
860 -2.91263  1182.89 20
861 -2.97715  1189.47 20
862 3.86621  1186.36 20
863 -3.76878  1169.49 20
864 3.61255  1170.48 20
865 -3.4517  1174.92 20
866 2.73256  1173.8 20
867 -2.87601  1157.42 20
868 -3.00896  1163.16 20
869 2.10058  1169.24 20
870 4.01564  1147.47 20
871 2.75637  1147.42 20
872 2.74265  1143.75 20
873 2.98542  1140.11 20
874 2.19349  1163.04 20
875 -2.89794  1202.58 20
876 3.28741  1223.3 20
877 2.92999  1205.69 20
878 -3.16857  1214.01 20
879 3.19954  1214.28 20
880 -3.01106  1233.95 20
881 4.50149  1234.26 20
882 -3.20289  1251.68 20
883 2.58177  1282.73 20
884 -3.28814  1278.54 20
885 2.65851  1290.36 20
886 3.59844  1302.33 20
887 2.90206  1323.3 20
888 -3.71704  1341.5 20
889 -3.59051  1322.64 20
890 4.06107  1304.92 20
891 -3.24878  1317.12 20
892 -2.92894  1321.16 20
893 -2.63354  1321.41 20
894 3.05861  1316.82 20
895 -2.54242  1313.74 20
896 2.76071  1306.61 20
897 -3.00617  1313.98 20
898 3.12409  1328.09 20
899 2.89387  1329.39 20
900 2.74482  1323.65 20
901 -3.02546  1321.05 20
902 3.18062  1303.67 20
903 -3.20978  1298.73 20
904 -3.55416  1295.77 20
905 -3.24742  1303.87 20
906 3.4092  1302.46 20
907 3.02803  1304.79 20
908 3.16925  1312.78 20
909 -3.80876  1303.87 20
910 -3.39346  1294.93 20
911 3.81229  1292.21 20
912 -3.74059  1292.1 20
913 4.42191  1282.63 20
914 -3.42939  1279.89 20
915 3.68226  1267.68 20
916 3.89446  1259.46 20
917 -3.25877  1254.15 20
918 2.45107  1254.7 20
919 -2.85653  1248.76 20
920 -2.6361  1277.12 20
921 -3.59139  1257.43 20
922 3.40677  1255.66 20
923 2.6943  1261.36 20
924 -3.26717  1320.25 20
925 2.38575  1362.84 20
926 3.40838  1368.38 20
927 -2.54103  1431.74 20
928 -2.81323  1438.44 20
929 -2.70229  1461.88 20
930 3.4997  1469.79 20
931 3.19646  1477.28 20
932 2.18836  1480.07 20
933 -3.4564  1474.83 20
934 -2.65692  1476.09 20
935 3.26986  1470.89 20
936 -2.57074  1453.97 20
937 -3.03243  1425.6 20
938 4.20414  1425.54 20
939 -2.51187  1426.03 20
940 -3.22681  1405.51 20
941 2.3792  1391.26 20
942 2.71276  1377.45 20
943 -3.42896  1364.41 20
944 3.30321  1336.57 20
945 -2.19097  1329.71 20
946 2.75185  1335.28 20
947 3.17985  1321.29 20
948 -2.96164  1291.38 20
949 -3.28438  1281.41 20
950 2.98971  1287.11 20
951 -3.2728  1286.86 20
952 -3.26497  1280.44 20
953 3.47151  1266.73 20
954 -4.85702  1257.64 20
955 -3.97342  1267.44 20
956 -4.27238  1262.11 20
957 4.7677  1263.24 20
958 3.20051  1268.07 20
959 -3.02346  1263.47 20
960 3.66101  1257.79 20
961 3.33163  1242.85 20
962 2.74217  1249.43 20
963 3.73144  1254.88 20
964 -3.27315  1273.87 20
965 -2.8384  1282.9 20
966 3.29248  1277.55 20
967 3.04394  1277.17 20
968 -2.3626  1279.06 20
969 3.01055  1259.59 20
970 -2.48965  1262.33 20
971 2.77018  1268.53 20
972 -2.38751  1257.65 20
973 -2.17126  1257.72 20
974 -2.43335  1254.64 20
975 -3.01311  1260.49 20
976 -3.4027  1269.05 20
977 2.88676  1273.33 20
978 -3.29908  1270.14 20
979 2.96164  1266.55 20
980 2.39525  1258.47 20
981 -3.06233  1246.11 20
982 2.42124  1258.3 20
983 -3.12518  1256.52 20
984 3.07088  1250.81 20
985 -2.73699  1224.4 20
986 2.48325  1211.65 20
987 -2.78153  1205.16 20
988 -2.26043  1098.77 20
989 2.6669  1094.46 20
990 -3.15476  1056.32 20
991 -2.3225  1043.53 20
992 2.83294  1025.87 20
993 -2.99931  1018.73 20
994 3.9979  1001 20
995 -3.86585  1000.02 20
996 -2.6951  1005.85 20
997 2.65851  996.778 20
998 -2.9042  1003.98 20
999 -2.85278  1003.76 20
1000 -3.29916  1002.27 20
1001 -3.09688  1012.46 20
1002 2.31186  1015.42 20
1003 3.26329  1011.01 20
1004 2.47272  1023.5 20
1005 -2.72466  1025.88 20
1006 -2.27677  1028.35 20
1007 -2.50281  1017.76 20
1008 2.26035  1018.78 20
